nombre_obra,arquitecto,año_construccion,latitud,longitud,importancia,id,añadido_por,categoria,visitable,foto_url,enlace_url,estado_acceso
Teatro da Cerca de São Bernardo,João Mendes Ribeiro,,40.2129059,-8.4296837,3,TY75CJ00Q9J3,OpenStreetMap,,True,,,exterior_visible
Meirama,,1943,43.2149491,-8.4495329,3,X0J738GC46ZI,OpenStreetMap,,True,,,exterior_visible
Iglesia de Santa María la Mayor,,C13,39.4608565,-5.8841649,3,T1P1N40Z81KA,OpenStreetMap,,True,,,exterior_visible
Museo de Historia Natural Luís Iglesias,César Portela,,42.886352,-8.5459078,3,1L3DL6I52G3N,OpenStreetMap,,True,,,exterior_visible
Palacio de Valdecarzana,,before 1400,43.5563413,-5.9215064,3,M45B45IE0RF3,OpenStreetMap,,True,,,exterior_visible
Tribunal de Ovar,Januário Godinho,,40.8598436,-8.6242363,3,B1AH6J83X20B,OpenStreetMap,,True,,,exterior_visible
Casa do Asilo José Vasques Osório,Teixeira Lopes,,41.1595084,-7.7851557,3,939WLSF9O2B5,OpenStreetMap,,True,,,exterior_visible
Central Hidroelétrica da Velada,,1935,39.5914021,-7.7093641,3,8X6VMB50R2D4,OpenStreetMap,,True,,,exterior_visible
Museu Municipal de Porto de Mós,,1989,39.6018902,-8.8181115,3,7E7O8UVA0T84,OpenStreetMap,,True,,,exterior_visible
Torreón de Fernán González,,942,42.0582717,-3.5197416,3,42322H9VPEAT,OpenStreetMap,,True,,,exterior_visible
Pósito,,C16,39.4048391,-3.1262434,3,253N7T3PNO2Y,OpenStreetMap,,True,,,exterior_visible
Palácio Atlântico,"ARS arquitectos (Mário Cândido de Morais Soares, António Fortunato Cabral, Fernando da Cunha Leão)",1951,41.1480488,-8.6091388,3,ZDKP942H4T06,OpenStreetMap,,True,Category:Palácio Atlântico,,exterior_visible
Sé do Porto,,C12,41.1428871,-8.6111782,3,4X576HIC8Y1W,OpenStreetMap,,True,Category:Sé do Porto,,exterior_visible
Oratório da Capela de São Sebastião,,C18,41.1432184,-8.6114016,3,XUZ0752F90LX,OpenStreetMap,,True,Category:Capela do Senhor dos Passos (Porto),,exterior_visible
Vestigios Casa da Camara,,C15,41.1430889,-8.6116593,3,79ZGZ9X6AJ29,OpenStreetMap,,True,,,exterior_visible
Torre Medieval,Rogério de Azevedo,,41.142801,-8.6122059,3,22A7E3Y48MQV,OpenStreetMap,,True,Category:Torre de D. Pedro Pitões,,exterior_visible
Igreja de Nossa Senhora do Patrocínio,,C18,41.1414625,-8.6102207,3,6832PUSIP25E,OpenStreetMap,,True,,,exterior_visible
Capela da Senhora do Ó,,C17,41.140443,-8.614648,3,7O4XJP25B9F9,OpenStreetMap,,True,Category:Capela de Nossa Senhora do Ó,,exterior_visible
Hard Club,João Carlos Machado;Companhia Aliança (Fundição de Massarelos),,41.1417734,-8.6146773,3,WK677Z6NO0N4,OpenStreetMap,,True,Category:Mercado Ferreira Borges,,exterior_visible
Torre da Rua de Baixo,,C13,41.1408748,-8.6124814,3,76H42IP38QXH,OpenStreetMap,,True,Category:Torre da Rua de Baixo,,exterior_visible
"Edifício na Rua Chã, n.º 98 a 102",,C18,41.1439877,-8.6098631,3,I2207E6AD2CV,OpenStreetMap,,True,,,exterior_visible
Arquivo do Teatro São João,,C19,41.1437453,-8.6083732,3,531V1JX9CSX1,OpenStreetMap,,True,,,exterior_visible
Palácio dos Condes de Azevedo,,C17,41.1432645,-8.6088048,3,WPIJ480W64I8,OpenStreetMap,,True,Category:Palácio dos Condes de Azevedo,,exterior_visible
Teatro Nacional São João,José Marques da Silva,1920,41.1443561,-8.6078216,3,KV28TU7P1G44,OpenStreetMap,,True,File:National Theatre (27470983379).jpg,,exterior_visible
Hotel Intercontinental Palácio das Cardosas,Amoroso Lopes;Manuel Marques,1834,41.1459505,-8.610943,3,812ES8JQ12IQ,OpenStreetMap,,True,Category:Palácio das Cardosas,,exterior_visible
Palacete de Belomonte,,C18,41.1426541,-8.6160439,3,1147S4EUIUW4,OpenStreetMap,,True,Category:Palacete de Belomonte,,exterior_visible
Galilé da Sé do Porto,Nicolau Nasoni,,41.1429057,-8.6115007,3,IC33DR1P5T17,OpenStreetMap,,True,,,exterior_visible
Igreja da Vitória,,1769,41.1434813,-8.615855,3,L6Y7LAU8018G,OpenStreetMap,,True,Category:Igreja de Nossa Senhora da Vitória (Porto),,exterior_visible
Palácio de São João Novo,Nicolau Nasoni;António Pereira,1727,41.1424753,-8.6174923,3,7CT4C73IF2V8,OpenStreetMap,,True,Category:Palácio de São João Novo,,exterior_visible
Clube Inglês do Porto,,1834,41.1432853,-8.6182366,3,49VW0V69QE4Y,OpenStreetMap,,True,Category:Antigo Clube dos Ingleses,,exterior_visible
,"Júlio José de Brito, eng. arq.",,41.1462641,-8.6121549,3,DVU90N2064NJ,OpenStreetMap,,True,,,exterior_visible
Capela dos Alfaiates,,C16,41.1432716,-8.6073495,3,YVJ3J37D089F,OpenStreetMap,,True,Category:Capela dos Alfaiates,,exterior_visible
Tribunal da Figueira da Foz,Raul Rodrigues Lima,,40.1495069,-8.8606174,3,EX3X9559W6BE,OpenStreetMap,,True,Category:Palácio da Justiça (Figueira da Foz),,exterior_visible
Batalha Centro de Cinema,,1947-06-03,41.1456637,-8.60692,3,T56X74JSH46T,OpenStreetMap,,True,Category:Cinema Batalha,,exterior_visible
Garagem Passos Manuel,Mário Ferreira de Abreu,1938,41.1466845,-8.6056441,3,7T0465KI6ZCI,OpenStreetMap,,True,Category:Garagem Passos Manuel,,exterior_visible
Palacio del Marqués de Alcañices,Francisco de Cubas,1865,40.4213112,-3.6928782,3,640EA8XC8R6H,OpenStreetMap,,True,"Category:Palacio de Alcañices, Madrid",,exterior_visible
Palacio López-Dóriga,Francisco de Cubas,1872,40.4216329,-3.6925982,3,1KJ81TW26N2J,OpenStreetMap,,True,"Category:Palacio López-Dóriga, Madrid",,exterior_visible
Edifício na Rua de Santa Catarina nº 1;Ourivesaria Reis & Filhos,,1880,41.1463946,-8.6071318,3,LA2TFF522N39,OpenStreetMap,,True,Category:Ourivesaria Reis & Filhos,,exterior_visible
Café Restaurante a Brasileira,Francisco de Oliveira Ferreira,C19,41.1469898,-8.6090005,3,SY244SX1SC52,OpenStreetMap,,True,Category:Café A Brasileira (Porto),,exterior_visible
"Edifício na Avenida dos Aliados, n.º 1 a 21",José Marques da Silva;Francisco de Oliveira Ferreira,1924,41.1470105,-8.6117136,3,U6JWAUN71763,OpenStreetMap,,True,"Category:Edifício ""A Nacional",,exterior_visible
Quiosque do Serviço de Transportes Colectivos do Porto;Quiosque da Praça da Liberdade (S.T.C.P.),,1873..1935,41.1465025,-8.6117384,3,526CJ2AI86MG,OpenStreetMap,,True,Category:Quiosque do Serviço de Transportes Colectivos do Porto,,exterior_visible
Banco Santander Totta,Francisco Teixeira Martim,,41.1472009,-8.6115798,3,J190W7Z0M0DD,OpenStreetMap,,True,Category:Edifício do Banco Santander Totta,,exterior_visible
"Edifício na Avenida dos Aliados, n.º 43 a 45",Porfírio Pardal Monteiro,,41.1473867,-8.6115421,3,40H2V94TJW6Y,OpenStreetMap,,True,Category:Edifício do BES (Porto),,exterior_visible
,Rogério de Azevedo,,41.1475137,-8.6131685,3,7S7NKK121N6S,OpenStreetMap,,True,,,exterior_visible
Palácio dos Condes de Vizela;Edifício Quarteirão Conde de Vizela,Casimiro Barbos;Boutin;Inácio Pereira de Sá;José Marques da Silva,,41.1463168,-8.6136719,3,LB8D10Z698UX,OpenStreetMap,,True,,,exterior_visible
Edifício na Rua da Galeria de Paris nº 26 a 34,José Estevão;Eduardo Augusto;Parada Silva Leitão,1906,41.1468877,-8.6142522,3,08SXT3I82UD9,OpenStreetMap,,True,Category:Casa Arte Nova na Rua Galeria de Paris,,exterior_visible
Monumento a Nuestra Señora de la Antigua-Txarlazo,Claudio Durán y Ventosa,1904,42.9821123,-3.037577,3,M4E5M242KAK1,OpenStreetMap,,True,,,exterior_visible
,OODA,,41.144195,-8.6209326,3,68DK3QOBG518,OpenStreetMap,,True,,,exterior_visible
Capela de Saimes,,1898,41.0868719,-8.1917667,3,34BGJ8F9I47N,OpenStreetMap,,True,,,exterior_visible
Hospital de Santo António - Edifício Neoclássico,John Carr,1824,41.147659,-8.6191984,3,L28Q031X3XAW,OpenStreetMap,,True,Category:Hospital de Santo António (Monumento Nacional),,exterior_visible
Ponte Pênsil Dona Maria II,,1843,41.140522,-8.6099826,3,Q62VL750RI9Y,OpenStreetMap,,True,Category:Ponte pênsil D. Maria II,,exterior_visible
Iglesia de San Juan Bautista,,C12,41.9096019,-5.5739631,3,H9H17HDDA420,OpenStreetMap,,True,,,exterior_visible
,Raul Rodrigues Lima,,41.8066407,-6.7591765,3,6CZ5LY97U35J,OpenStreetMap,,True,,,exterior_visible
Casona La Regla,Manuel Reguera González,1782,43.36052,-5.8416241,3,J5FI2R5E67L2,OpenStreetMap,,True,,,exterior_visible
